StartDate,EndDate,AssetID,MachineName,MachineType,OEM,Model,VIN,Manufacturing year,EngineType,EmissionStandard,Site,Group,Active (hh:mm),Idle (hh:mm),Total On (hh:mm),Off (hh:mm),Idle (%),Utilisation (%),Fuel (L),Fuel burn (l/h),CO2 Emissions (t),Tips,Indicative payload (t),Data Level (%),Telematics found,Activity Data Source,Location Data Source,Hour Meter Data Source,Productivity Data Source,Fuel Data Source,Ownership type,Owner,Note,Subscriptions
2023/07/31,2023/08/01,,A235 Rubber Duck,EXCAVATOR,UNKNOWN,,,,,,CORNWALL,CA,,,,,,,,,,,,0,Yes,MaxActive - LoRa 4CBC9831A16560BF,MaxActive - LoRa 4CBC9831A16560BF,MaxActive - LoRa 4CBC9831A16560BF,,,,,,
2023/07/31,2023/08/01,,B214,DOZER,CATERPILLAR,D9T,REX00496,,,,CORNWALL,WA,,,,,,,,,,0,,0,Yes,MaxActive - LoRa 4CBC983221BA3D4A,MaxActive - LoRa 4CBC983221BA3D4A,MaxActive - LoRa 4CBC983221BA3D4A,CAT - AEMP 2.0,CAT - AEMP 2.0,,,,
2023/07/31,2023/08/01,,B216,DOZER,CATERPILLAR,D8T,FMC01005,,,,CORNWALL,R,10:05,00:52,10:57,26:26,7.9,92.1,313,28.58,0.83,0,,100,Yes,MaxActive - LoRa 4CBC9831973904E4,MaxActive - LoRa 4CBC9831973904E4,MaxActive - LoRa 4CBC9831973904E4,CAT - AEMP 2.0,CAT - AEMP 2.0,,,,
2023/07/31,2023/08/01,,B217,DOZER,CATERPILLAR,D8T,FMC01010,,,,CORNWALL,CA,,,,,,,,,,0,,0,Yes,MaxActive - LoRa 4CBC983221C14015,MaxActive - LoRa 4CBC983221C14015,MaxActive - LoRa 4CBC983221C14015,CAT - AEMP 2.0,CAT - AEMP 2.0,,,,
2023/07/31,2023/08/01,,B218,DOZER,CATERPILLAR,D8T,FMC01006,,,,CORNWALL,WA3,,,,,,,337,,0.89,0,,0,Yes,MaxActive - LoRa 4CBC9831EC5BA918,MaxActive - LoRa 4CBC9831EC5BA918,MaxActive - LoRa 4CBC9831EC5BA918,CAT - AEMP 2.0,CAT - AEMP 2.0,,,,
2023/07/31,2023/08/01,,Bull,DOZER,KOMATSU,D65 EX-15EO,70250,,,,GLOMEL,UNALLOCATED,00:00,00:00,00:00,36:05,,,,,,,,100,Yes,MaxActive - Cellular 867035049919960,,MaxActive - Cellular 867035049919960,,,,,,
2023/07/31,2023/08/01,,Bulldozer - NB,DOZER,UNKNOWN,,,,,,DEVON,DEVON - Quarries,,,,,,,,,,,,0,Yes,MaxActive - Cellular 867035049919036,,MaxActive - Cellular 867035049919036,,,,,,
2023/07/31,2023/08/01,,Bulldozer - RS/S P310,DOZER,UNKNOWN,D51,,,,,DEVON,DEVON - Quarries,,,,,,,,,,,,0,Yes,MaxActive - Cellular 867035049885419,,MaxActive - Cellular 867035049885419,,,,,,
2023/07/31,2023/08/01,,D119 ,GRADER,UNKNOWN,,,,,,CORNWALL,CA,14:07,01:08,15:16,21:04,7.5,92.5,,,,,,100,Yes,MaxActive - LoRa 4CBC9831E367C9F1,MaxActive - LoRa 4CBC9831E367C9F1,MaxActive - LoRa 4CBC9831E367C9F1,,,,,,
2023/07/31,2023/08/01,,D19,DUMP_TRUCK_DUMPER,KOMATSU,HD605-8,30085,,,,GLOMEL,UNALLOCATED,00:08,00:00,00:08,37:14,0,100,0,0,0,,,100,Yes,MaxActive - Cellular 860186054906116,MaxActive - Cellular 860186054906116,MaxActive - Cellular 860186054906116,Komatsu - AEMP 2.0,Komatsu - AEMP 2.0,,,,
2023/07/31,2023/08/01,,D7,DOZER,CATERPILLAR,D9R,7TL00632(O),,,,QUINCY,UNALLOCATED,,,,,,,,,,,,0,Yes,MaxActive - Cellular 867035049900267,,MaxActive - Cellular 867035049900267,,,,,,
2023/07/31,2023/08/01,,D88 - RS/S,DUMP_TRUCK_DUMPER,UNKNOWN,,,,,,DEVON,DEVON - Quarries,,,,,,,,,,,,0,Yes,MaxActive - Cellular 867035049919408,,MaxActive - Cellular 867035049919408,,,,,,
2023/07/31,2023/08/01,,D89-RS/S,DUMP_TRUCK_DUMPER,UNKNOWN,,,,,,DEVON,DEVON - Quarries,,,,,,,,,,,,0,Yes,MaxActive - Cellular 867035049919523,,MaxActive - Cellular 867035049919523,,,,,,
2023/07/31,2023/08/01,,D94- NB,DUMP_TRUCK_DUMPER,BELL,B25E,,,,,DEVON,DEVON - Quarries,,,,,,,,,,,,0,Yes,MaxActive - Cellular 867035049913690,,MaxActive - Cellular 867035049913690,,,,,,
2023/07/31,2023/08/01,,Drilling machine BE,DRILL,OTHER,,,,,,CLERAC,UNALLOCATED,,,,,,,,,,,,0,Yes,MaxActive - Cellular 867198057181574,,MaxActive - Cellular 867198057181574,,,,,,
2023/07/31,2023/08/01,,Drilling machine DB- Mât,DRILL,OTHER,,,,,,CLERAC,UNALLOCATED,00:02,00:00,00:02,37:34,0,100,,,,,,100,Yes,MaxActive - Cellular 867198057161634,MaxActive - Cellular 867198057161634,MaxActive - Cellular 867198057161634,,,,,,
2023/07/31,2023/08/01,,Drilling machine MI4,DRILL,OTHER,,,,,,CLERAC,UNALLOCATED,07:24,00:00,07:24,28:39,0,100,,,,,,100,Yes,MaxActive - Cellular 867198057181384,MaxActive - Cellular 867198057181384,MaxActive - Cellular 867198057181384,,,,,,
2023/07/31,2023/08/01,,Dumper 1 - NB D78,DUMP_TRUCK_DUMPER,UNKNOWN,,,,,,DEVON,DEVON - Quarries,,,,,,,,,,,,0,Yes,MaxActive - Cellular 867035049919085,,MaxActive - Cellular 867035049919085,,,,,,
2023/07/31,2023/08/01,,Dumper 2 - NB D77,DUMP_TRUCK_DUMPER,UNKNOWN,,,,,,DEVON,DEVON - Quarries,,,,,,,,,,,,0,Yes,MaxActive - Cellular 867035049918798,,MaxActive - Cellular 867035049918798,,,,,,
2023/07/31,2023/08/01,,E214,WHEELED_LOADER,UNKNOWN,,,,,,CORNWALL,CA,27:11,00:00,27:11,10:23,0,100,,,,,,100,Yes,MaxActive - LoRa 4CBC983221CAD992,MaxActive - LoRa 4CBC983221CAD992,MaxActive - LoRa 4CBC983221CAD992,,,,,,
2023/07/31,2023/08/01,,E215,WHEELED_LOADER,UNKNOWN,,,,,,CORNWALL,CA,00:00,00:00,00:00,37:32,,,,,,,,100,Yes,MaxActive - LoRa 4CBC98314091F181,MaxActive - LoRa 4CBC98314091F181,MaxActive - LoRa 4CBC98314091F181,,,,,,
2023/07/31,2023/08/01,,E383,WHEELED_LOADER,CATERPILLAR,990,BCR00264,,,,CORNWALL,Z Spare,,,,,,,,,,0,,0,Yes,MaxActive - LoRa 4CBC98317FD0A2EB,,MaxActive - LoRa 4CBC98317FD0A2EB,CAT - AEMP 2.0,CAT - AEMP 2.0,,,,
2023/07/31,2023/08/01,,E385,WHEELED_LOADER,UNKNOWN,,M9P00205,,,,CORNWALL,WA1,,,,,,,536,,1.42,0,,0,Yes,MaxActive - LoRa 4CBC98311412B5FC,MaxActive - LoRa 4CBC98311412B5FC,MaxActive - LoRa 4CBC98311412B5FC,CAT - AEMP 2.0,CAT - AEMP 2.0,,,Service 24-08-2022,
2023/07/31,2023/08/01,,EXC 345 GC_414,EXCAVATOR,UNKNOWN,,,,,,RANONG,UNALLOCATED,,,,,,,,,,,,0,Yes,MaxActive - LoRa 4CBC9832111144A1,,MaxActive - LoRa 4CBC9832111144A1,,,,,,
2023/07/31,2023/08/01,,Escavatore Cernita,EXCAVATOR,VOLVO,ECR58D,,,,,ITALY,UNALLOCATED,,,,,,,,,,,,0,Yes,MaxActive - LoRa 4CBC98322175EE6C,,MaxActive - LoRa 4CBC98322175EE6C,,,,,,
2023/07/31,2023/08/01,,Excavator - NB,EXCAVATOR,JCB,220x,,,,,DEVON,DEVON - Quarries,,,,,,,,,,,,0,Yes,MaxActive - Cellular 867035049910951,,MaxActive - Cellular 867035049910951,,,,,,
2023/07/31,2023/08/01,,Excavator - RS/S P294,EXCAVATOR,UNKNOWN,,,,,,DEVON,DEVON - Quarries,,,,,,,,,,,,0,Yes,MaxActive - Cellular 867035049918939,,MaxActive - Cellular 867035049918939,,,,,,
2023/07/31,2023/08/01,,FLT 90132,DIESEL_FORKLIFT,UNKNOWN,,GB90132,,,,DEVON,DEVON - Forklifts,,,,,,,,,,,,0,Yes,MaxActive - LoRa 4CBC9831D13DC236,,MaxActive - LoRa 4CBC9831D13DC236,,,,,,
