StartDate,EndDate,AssetID,MachineName,MachineType,Load Capacity (Tonnes),OEM,Model,VIN,Manufacturing year,EngineType,EmissionStandard,Customer,Code,Site,HireStatus,ContractNumber,Active (hh:mm),Idle (hh:mm),Total On (hh:mm),Off (hh:mm),Idle (%),OutOfHours (hh:mm),RentalUtilisation (%),Fuel (L),Fuel burn (l/h),CO2 Emissions (t),Data Level (%),Telematics found,Activity Data Source,Location Data Source,Hour Meter Data Source,Fuel Data Source,Ownership type,Owner,Note,Subscriptions
2023/08/14,2023/08/15,,RD13T36,EXCAVATOR,,HITACHI,,,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,Yes,MaxActive - Cellular 860536043135773,,MaxActive - Cellular 860536043135773,,,,,
2023/08/14,2023/08/15,1102,BOMAG BW120 AD4 ROLLER,PLANT,,TRACKUNIT,,101-880024290,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,02:21,,02:21,,,00:00,13,,,,100,Yes,Trackunit - AEMP 2.0,Trackunit - AEMP 2.0,Trackunit - AEMP 2.0,Trackunit - AEMP 2.0,,,,
2023/08/14,2023/08/15,1103,BOMAG BW120 AD4 ROLLER,PLANT,,BOMAG,,101-880024318,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,00:33,,00:33,,,00:00,3,,,,100,Yes,Trackunit - AEMP 2.0,Trackunit - AEMP 2.0,Trackunit - AEMP 2.0,Trackunit - AEMP 2.0,,,,
2023/08/14,2023/08/15,1116,CATERPILLAR CB24 ROLLER,ROLLER,,CATERPILLAR,,24002088,,,,CONNEELY CONSTRUCTION LIMITED,C164,BUXTON ROAD,On hire,SDW85640,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,1117,CATERPILLAR CB24 ROLLER,ROLLER,,CATERPILLAR,,24002108,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,1118,CATERPILLAR CB24 ROLLER,ROLLER,,CATERPILLAR,,24002109,,,,MCRAIL CONSTRUCTION LIMITED,M209,ROTHER WAY,On hire,WSD42483,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,1119,CATERPILLAR CB24 ROLLER,ROLLER,,CATERPILLAR,,24002112,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,1120,CATERPILLAR CB24 ROLLER,ROLLER,,TRACKUNIT,,24002113,,,,P FLANNERY,INT001,KEEPS COTTAGE,On hire,WSD40839,,,,,,,,,,,0,Yes,Trackunit - AEMP 2.0,,Trackunit - AEMP 2.0,,,,,
2023/08/14,2023/08/15,1122,CAT CS64B ROLLER SELF PROPELLED 13T,PLANT,,CATERPILLAR,,C6400113,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,1123,CAT CS64B ROLLER SELF PROPELLED 13T,PLANT,,CATERPILLAR,,C6400114,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
