0,1
G,"[[-1.663264, 52.44358], [-1.664429, 52.442513], [-1.664343, 52.440263], [-1.664944, 52.438903], [-1.666317, 52.435188], [-1.65473, 52.437333], [-1.653646, 52.439011], [-1.659723, 52.441597]]"
Land owned by Berkswell estate,"[[-1.671805, 52.429477], [-1.670179, 52.429484], [-1.66984, 52.429461], [-1.668677, 52.429013], [-1.667568, 52.428563], [-1.667051, 52.428132], [-1.66563, 52.428162], [-1.665244, 52.427626], [-1.665094, 52.427077], [-1.667674, 52.426972], [-1.668248, 52.426998], [-1.6693, 52.427351], [-1.669985, 52.427652], [-1.670493, 52.427974], [-1.67103, 52.428366], [-1.671467, 52.428751], [-1.671703, 52.429026]]"
A,"[[-1.666037, 52.430415], [-1.665988, 52.430522], [-1.665714, 52.430642], [-1.665067, 52.430953], [-1.664525, 52.43127], [-1.664375, 52.43124], [-1.664257, 52.431263], [-1.663943, 52.43136], [-1.663458, 52.431516], [-1.663203, 52.431571], [-1.662975, 52.431584], [-1.662647, 52.431608], [-1.662347, 52.431607], [-1.661972, 52.431627], [-1.661462, 52.431702], [-1.661278, 52.43181], [-1.660454, 52.431954], [-1.659412, 52.431999], [-1.659813, 52.431528], [-1.660223, 52.431067], [-1.660373, 52.430871], [-1.66115, 52.430559], [-1.662099, 52.430351], [-1.662194, 52.429824], [-1.664051, 52.429317], [-1.66414, 52.429175], [-1.664, 52.428594], [-1.663871, 52.428463], [-1.665357, 52.427836], [-1.66563, 52.428214], [-1.665501, 52.428303], [-1.66548, 52.428567], [-1.66574, 52.428996], [-1.665983, 52.429418], [-1.666122, 52.429742], [-1.666253, 52.430106]]"
D,"[[-1.66526, 52.427855], [-1.663808, 52.428455], [-1.663887, 52.428512], [-1.663979, 52.428586], [-1.664018, 52.428777], [-1.66404, 52.428936], [-1.6641, 52.429117], [-1.664093, 52.429214], [-1.664021, 52.42931], [-1.663463, 52.429466], [-1.662905, 52.429609], [-1.662567, 52.42971], [-1.662186, 52.429814], [-1.662063, 52.430344], [-1.661619, 52.430442], [-1.661148, 52.43054], [-1.660774, 52.430694], [-1.660378, 52.430841], [-1.659888, 52.431422], [-1.659643, 52.431725], [-1.659482, 52.431939], [-1.659402, 52.432002], [-1.658539, 52.432045], [-1.658401, 52.432066], [-1.658371, 52.431815], [-1.658332, 52.43151], [-1.658286, 52.430972], [-1.658247, 52.430734], [-1.658332, 52.43046], [-1.658869, 52.429762], [-1.659655, 52.42941], [-1.659843, 52.42934], [-1.659965, 52.428791], [-1.660327, 52.428674], [-1.661575, 52.428293], [-1.663613, 52.427678], [-1.664267, 52.427434], [-1.664493, 52.42705], [-1.665034, 52.427063], [-1.665091, 52.427535]]"
New generic area 7,"[[-1.664239, 52.427413], [-1.663926, 52.427528], [-1.663641, 52.42765], [-1.662974, 52.427848], [-1.66164, 52.428237], [-1.661017, 52.428419], [-1.660593, 52.428572], [-1.660523, 52.42851], [-1.660319, 52.428313], [-1.660491, 52.428195], [-1.660255, 52.427881], [-1.66122, 52.42664], [-1.66293, 52.426925], [-1.664458, 52.427043]]"
North warwickshrie golf club,"[[-1.662749, 52.435548], [-1.662369, 52.434272], [-1.659107, 52.434717], [-1.658936, 52.433095], [-1.659352, 52.432993], [-1.661137, 52.433093], [-1.665015, 52.432235], [-1.664557, 52.431211], [-1.66528, 52.430865], [-1.666014, 52.430532], [-1.666188, 52.430583], [-1.666446, 52.43108], [-1.667671, 52.431389], [-1.668334, 52.430949], [-1.668646, 52.430624], [-1.66891, 52.430602], [-1.66864, 52.431223], [-1.66879, 52.43194], [-1.66927, 52.433067], [-1.669723, 52.434171]]"
C,"[[-1.65968, 52.42934], [-1.658201, 52.42935], [-1.657408, 52.429355], [-1.656786, 52.429242], [-1.65558, 52.428961], [-1.655329, 52.429308], [-1.654065, 52.429151], [-1.653571, 52.43028], [-1.653507, 52.430938], [-1.653174, 52.433078], [-1.653734, 52.43306], [-1.654026, 52.433406], [-1.655177, 52.432976], [-1.656141, 52.432641], [-1.657072, 52.432253], [-1.657728, 52.432166], [-1.658072, 52.432119], [-1.658265, 52.432086], [-1.658389, 52.432072], [-1.658224, 52.430723], [-1.658472, 52.430126], [-1.658967, 52.429565], [-1.659677, 52.429344]]"
H,"[[-1.661262, 52.431822], [-1.660506, 52.431968], [-1.660136, 52.431971], [-1.658946, 52.432029], [-1.658957, 52.433082], [-1.659315, 52.432981], [-1.659641, 52.432999], [-1.660358, 52.433035], [-1.661101, 52.433085], [-1.661776, 52.432932], [-1.664477, 52.432351], [-1.664993, 52.432205], [-1.66478, 52.431732], [-1.664663, 52.431494], [-1.664589, 52.43128], [-1.664386, 52.431244], [-1.663506, 52.431512], [-1.663195, 52.431584], [-1.662669, 52.431623], [-1.662304, 52.431623], [-1.661865, 52.431656], [-1.661446, 52.431708]]"
Land owned by berkswell estate,"[[-1.655261, 52.429267], [-1.654086, 52.429091], [-1.653893, 52.428817], [-1.653657, 52.428516], [-1.65252, 52.428189], [-1.652155, 52.42811], [-1.652327, 52.4276], [-1.652434, 52.427364], [-1.652477, 52.427077], [-1.652477, 52.426815], [-1.652455, 52.426553], [-1.652219, 52.426187], [-1.652112, 52.425912], [-1.651962, 52.425755], [-1.656082, 52.424983], [-1.656645, 52.425492], [-1.657112, 52.425729], [-1.657562, 52.425899], [-1.65694, 52.426906], [-1.656876, 52.427129], [-1.656575, 52.427299], [-1.656361, 52.42743], [-1.656082, 52.427914], [-1.655889, 52.428189], [-1.655781, 52.428424], [-1.655631, 52.42866], [-1.655459, 52.428987]]"
J,"[[-1.673821, 52.43323], [-1.673441, 52.4335], [-1.66975, 52.434168], [-1.668807, 52.431932], [-1.671374, 52.431396], [-1.67078, 52.43074], [-1.668656, 52.431208], [-1.668817, 52.430855], [-1.668924, 52.430607], [-1.668602, 52.430622], [-1.668468, 52.430811], [-1.668195, 52.431026], [-1.667669, 52.431365], [-1.666739, 52.431152], [-1.666458, 52.431077], [-1.666205, 52.430593], [-1.666017, 52.430514], [-1.666273, 52.430101], [-1.666102, 52.429602], [-1.665502, 52.428568], [-1.665523, 52.42828], [-1.665683, 52.428189], [-1.665928, 52.428163], [-1.667025, 52.42811], [-1.667604, 52.428594], [-1.668621, 52.429046], [-1.6693, 52.429301], [-1.669643, 52.429458], [-1.670051, 52.429536], [-1.671638, 52.429523], [-1.671678, 52.429596], [-1.67181, 52.429654], [-1.671934, 52.430347], [-1.672387, 52.431376], [-1.672601, 52.431768], [-1.672921, 52.432186], [-1.67322, 52.432487], [-1.673505, 52.432689], [-1.673806, 52.432899], [-1.673913, 52.432977]]"
