a,
GE'S,"{""(52.6727330000000009,-2.08617499999999989)"",""(52.6736170000000001,-2.08464500000000008)"",""(52.6730379999999982,-2.08202700000000007)"",""(52.6732470000000035,-2.08174800000000015)"",""(52.6726280000000031,-2.08052500000000018)"",""(52.6720299999999995,-2.07967799999999992)"",""(52.6716720000000009,-2.07918000000000003)"",""(52.6717310000000012,-2.0799310000000002)"",""(52.6717310000000012,-2.08029600000000015)"",""(52.6715420000000023,-2.08125099999999996)"",""(52.6717370000000003,-2.08231600000000006)"",""(52.6721760000000003,-2.08430999999999989)""}"
PERRY,"{""(52.6720559999999978,-2.08725899999999998)"",""(52.6727330000000009,-2.08621100000000004)"",""(52.6721000000000004,-2.08411400000000002)"",""(52.6715030000000013,-2.08127199999999979)"",""(52.6710210000000032,-2.08275299999999985)"",""(52.671014999999997,-2.08300999999999981)""}"
Soil dumping area,"{""(52.6711960000000019,-2.08221999999999996)"",""(52.6719190000000026,-2.07966700000000015)"",""(52.6707480000000032,-2.07791799999999993)"",""(52.6695640000000012,-2.07506900000000005)"",""(52.6684580000000011,-2.07475299999999985)""}"
Phase 10,"{""(52.6705200000000033,-2.08037599999999978)"",""(52.6686789999999974,-2.08158699999999985)"",""(52.6683930000000018,-2.07965599999999995)"",""(52.6698639999999969,-2.07860500000000004)""}"
GE'S,"{""(52.6720510000000033,-2.08724199999999982)"",""(52.6713530000000034,-2.08785299999999996)"",""(52.6708980000000011,-2.08563199999999993)"",""(52.6701630000000023,-2.08327200000000001)"",""(52.6710040000000035,-2.0829620000000002)""}"
Phase 8,"{""(52.6690380000000005,-2.0763189999999998)"",""(52.6684190000000001,-2.07476400000000005)"",""(52.6676369999999991,-2.07452199999999998)"",""(52.6673649999999967,-2.07705999999999991)""}"
Phase 9,"{""(52.6698740000000001,-2.07863299999999995)"",""(52.6690570000000022,-2.0763729999999998)"",""(52.6673770000000019,-2.0771440000000001)"",""(52.6672870000000017,-2.07789700000000011)"",""(52.6675600000000017,-2.08008399999999982)""}"
Surge,"{""(52.6686959999999971,-2.08208800000000016)"",""(52.6679829999999995,-2.08235999999999999)"",""(52.6675540000000026,-2.07994600000000007)"",""(52.6683799999999991,-2.07952700000000013)""}"
Saredon,"{""(52.6709230000000019,-2.08577099999999982)"",""(52.6701649999999972,-2.08319799999999988)"",""(52.6705990000000028,-2.08309200000000017)"",""(52.6709850000000017,-2.08298499999999986)"",""(52.671007000000003,-2.08279300000000012)"",""(52.6716899999999981,-2.08050200000000007)"",""(52.6716639999999998,-2.0791590000000002)"",""(52.6694069999999996,-2.07507399999999986)"",""(52.6675680000000028,-2.0744959999999999)"",""(52.6672939999999983,-2.07794999999999996)"",""(52.6683080000000032,-2.08606500000000006)"",""(52.6689470000000028,-2.0862090000000002)"",""(52.6691220000000015,-2.08779899999999996)"",""(52.6704909999999984,-2.08738199999999985)"",""(52.6703910000000022,-2.08605099999999988)""}"
PROPOSED EXPANSION AREA,"{""(52.6683850000000007,-2.08589000000000002)"",""(52.6668189999999967,-2.08660800000000002)"",""(52.6660510000000031,-2.08114700000000008)"",""(52.6666140000000027,-2.08058999999999994)"",""(52.6676819999999992,-2.0800860000000001)"",""(52.6680070000000029,-2.08275699999999997)""}"
